left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	left thigh	Annotation	Annotation	
Gyroscope X	Gyroscope X	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Magnetometer Z	Magnetometer Z	SyncTimestamp	SystemTimestamp	Timestamp	Timestamp	Level	Pulse	
CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	UNCAL	CAL	RAW	no format	no format	
deg/s	No Units	deg/s	No Units	deg/s	No Units	m/s^2	No Units	m/s^2	No Units	m/s^2	No Units	local flux	No Units	local flux	No Units	local flux	No Units	mSecs	mSecs	mSecs	No Units	no unit	no unit	
-0.21374045801526717	-26.0	0.3969465648854962	14.0	1.7557251908396947	-115.0	0.30120481927710846	1285.0	9.180722891566266	2022.0	0.1566265060240964	2034.0	-0.43	473.0	-0.01	-11.0	-0.2326530612244898	228.0	1.5228924774503125E12	1.522892477479E12	1128.90625	36992.0	0.0	0.0	
-0.16793893129770993	-19.0	0.2900763358778626	11.0	1.618320610687023	-106.0	0.3253012048192771	1284.0	9.19277108433735	2020.0	0.14457831325301207	2035.0	-0.4263636363636364	469.0	-0.01	-11.0	-0.23163265306122452	227.0	1.5228924774542188E12	1.52289247748E12	1132.8125	37120.0	0.0	0.0	
-0.16793893129770993	-26.0	0.3969465648854962	11.0	1.5572519083969465	-102.0	0.3373493975903615	1284.0	9.19277108433735	2019.0	0.12048192771084337	2037.0	-0.42454545454545456	467.0	-0.024545454545454544	-27.0	-0.22755102040816327	223.0	1.522892477458125E12	1.52289247748E12	1136.71875	37248.0	0.0	0.0	
-0.15267175572519084	-23.0	0.3511450381679389	10.0	1.6793893129770991	-110.0	0.3132530120481928	1286.0	9.168674698795181	2021.0	0.12048192771084337	2037.0	-0.4254545454545455	468.0	-0.013636363636363636	-15.0	-0.22755102040816327	223.0	1.5228924774620313E12	1.52289247748E12	1140.625	37376.0	0.0	0.0	
-0.3053435114503817	-31.0	0.47328244274809156	20.0	1.618320610687023	-106.0	0.30120481927710846	1284.0	9.19277108433735	2022.0	0.12048192771084337	2037.0	-0.43	473.0	-0.007272727272727273	-8.0	-0.22653061224489798	222.0	1.5228924774659375E12	1.522892477481E12	1144.53125	37504.0	0.0	0.0	
-0.2748091603053435	-28.0	0.42748091603053434	18.0	1.5114503816793892	-99.0	0.27710843373493976	1286.0	9.168674698795181	2024.0	0.10843373493975904	2038.0	-0.4354545454545454	479.0	-0.022727272727272728	-25.0	-0.22551020408163266	221.0	1.5228924774698438E12	1.522892477492E12	1148.4375	37632.0	0.0	0.0	
-0.24427480916030533	-23.0	0.3511450381679389	16.0	1.5267175572519083	-100.0	0.28915662650602414	1285.0	9.180722891566266	2023.0	0.12048192771084337	2037.0	-0.42454545454545456	467.0	-0.012727272727272728	-14.0	-0.22755102040816327	223.0	1.52289247747375E12	1.522892477493E12	1152.34375	37760.0	0.0	0.0	
-0.0916030534351145	-19.0	0.2900763358778626	6.0	1.6793893129770991	-110.0	0.3132530120481928	1283.0	9.204819277108435	2021.0	0.12048192771084337	2037.0	-0.42454545454545456	467.0	-0.012727272727272728	-14.0	-0.22755102040816327	223.0	1.5228924774776563E12	1.522892477493E12	1156.25	37888.0	0.0	0.0	
-0.549618320610687	-28.0	0.42748091603053434	36.0	1.6030534351145038	-105.0	0.3253012048192771	1285.0	9.180722891566266	2020.0	0.13253012048192772	2036.0	-0.4318181818181818	475.0	-0.02090909090909091	-23.0	-0.2326530612244898	228.0	1.5228924774815625E12	1.522892477494E12	1160.15625	38016.0	0.0	0.0	
-0.24427480916030533	-29.0	0.4427480916030534	16.0	1.6030534351145038	-105.0	0.28915662650602414	1283.0	9.204819277108435	2023.0	0.14457831325301207	2035.0	-0.4354545454545454	479.0	-0.02727272727272727	-30.0	-0.22551020408163266	221.0	1.5228924774854688E12	1.522892477495E12	1164.0625	38144.0	0.0	0.0	
-0.32061068702290074	-25.0	0.38167938931297707	21.0	1.450381679389313	-95.0	0.27710843373493976	1284.0	9.19277108433735	2024.0	0.0963855421686747	2039.0	-0.43454545454545457	478.0	-0.02727272727272727	-30.0	-0.22346938775510206	219.0	1.522892477489375E12	1.522892477501E12	1167.96875	38272.0	0.0	0.0	
-0.2748091603053435	-21.0	0.32061068702290074	18.0	1.6793893129770991	-110.0	0.28915662650602414	1285.0	9.180722891566266	2023.0	0.08433734939759037	2040.0	-0.4209090909090909	463.0	-0.017272727272727273	-19.0	-0.22755102040816327	223.0	1.5228924774932813E12	1.522892477504E12	1171.875	38400.0	0.0	0.0	
-0.0916030534351145	-26.0	0.3969465648854962	6.0	1.5114503816793892	-99.0	0.30120481927710846	1285.0	9.180722891566266	2022.0	0.07228915662650603	2041.0	-0.43363636363636365	477.0	-0.03	-33.0	-0.2285714285714286	224.0	1.5228924774971875E12	1.522892477505E12	1175.78125	38528.0	0.0	0.0	
