belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	Annotation	Annotation	
Axis Angle A	Axis Angle X	Axis Angle Y	Axis Angle Z	Gyroscope X	Gyroscope X	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Magnetometer Z	Magnetometer Z	Pressure	Pressure	Quaternion 0	Quaternion 1	Quaternion 2	Quaternion 3	SyncTimestamp	SystemTimestamp	Temperature	Temperature	Timestamp	Timestamp	VSenseBatt	VSenseBatt	Level	Pulse	
CAL	CAL	CAL	CAL	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	CAL	CAL	CAL	CAL	UNCAL	CAL	RAW	CAL	RAW	CAL	RAW	no format	no format	
local	local	local	local	deg/s	No Units	deg/s	No Units	deg/s	No Units	m/s^2	No Units	m/s^2	No Units	m/s^2	No Units	local flux	No Units	local flux	No Units	local flux	No Units	kPa	No Units	local	local	local	local	mSecs	mSecs	Degrees Celsius	No Units	mSecs	No Units	mV	No Units	no unit	no unit	
0.047010551898748795	0.929401069933172	-0.050967056738245885	0.36553523815666095	-0.21155943293347867	-146.0	0.22682660850599787	-9.0	0.2246455834242093	70.0	0.1566265060240964	1236.0	9.771084337349398	2034.0	-0.04819277108433735	2051.0	0.43363636363636365	-477.0	-0.8090909090909091	-890.0	-0.15816326530612246	155.0	95.24834031530732	39933.0	0.9997237637199559	0.021843817042566126	-0.0011978844210588035	0.008591215486204543	1.5228159097855625E12	1.522815909795E12	26.896939618726208	25937.0	222.65625	7296.0	3859.340659340659	2634.0	0.0	0.0	
0.05011939334323267	0.9295102834445833	-0.05029749670689542	0.365350235795868	-0.22798982188295164	-134.0	0.028498727735369073	-7.0	0.08753180661577609	78.0	0.13253012048192772	1234.0	9.795180722891567	2036.0	-0.012048192771084338	2048.0	0.43	-473.0	-0.8090909090909091	-890.0	-0.15408163265306124	151.0	95.24238838352687	39931.0	0.9996860222330788	0.02329080785147447	-0.0012603080913416418	0.009154607853157517	1.522815909793375E12	1.522815909805E12	26.896939618726208	25937.0	230.46875	7552.0	3850.5494505494503	2628.0	0.0	0.0	
0.053241478543016404	0.9295806822239077	-0.04991641452736559	0.3652233656237233	-0.061068702290076333	-123.0	-0.1412213740458015	-17.0	0.18893129770992365	71.0	0.13253012048192772	1235.0	9.783132530120483	2036.0	0.0	2047.0	0.42818181818181816	-471.0	-0.8190909090909091	-901.0	-0.15612244897959185	153.0	95.24834031530732	39933.0	0.9996456890450051	0.024743202296549506	-0.0013286549152616033	0.00972136770036467	1.5228159098011875E12	1.522815909806E12	26.896939618726208	25937.0	238.28125	7808.0	3847.6190476190473	2626.0	0.0	0.0	
0.05637140011060103	0.9296064432075776	-0.04961559675981878	0.3651987860121937	-0.011674898967220489	-127.0	-0.07184553210597233	-20.0	0.40682532555006723	56.0	0.16867469879518074	1234.0	9.795180722891567	2033.0	-0.024096385542168676	2049.0	0.43454545454545457	-478.0	-0.8163636363636364	-898.0	-0.15714285714285717	154.0	95.24834031530732	39933.0	0.9996028094523701	0.026198139275464192	-0.0013982651730166137	0.010292020595474188	1.522815909809E12	1.522815909818E12	26.896939618726208	25937.0	246.09375	8064.0	3850.5494505494503	2628.0	0.0	0.0	
0.05949889994167244	0.9296488608578259	-0.049687082268800156	0.3650810723131494	-0.011026293469041548	-118.0	-0.20525869380831233	-20.0	0.3078880407124683	61.0	0.21686746987951808	1234.0	9.795180722891567	2029.0	-0.060240963855421686	2052.0	0.43	-473.0	-0.8154545454545454	-897.0	-0.15510204081632656	152.0	95.25131628236882	39934.0	0.9995575177488244	0.027652462979829137	-0.001477945341368892	0.010859359121314093	1.5228159098168125E12	1.522815909826E12	26.896939618726208	25937.0	253.90625	8320.0	3852.014652014652	2629.0	0.0	0.0	
0.0626142200625878	0.929768448013366	-0.04954141984028986	0.36479621818062663	-0.1173161912414624	-130.0	-0.011249497790277105	-13.0	0.13901165126556855	71.0	0.21686746987951808	1234.0	9.795180722891567	2029.0	-0.07228915662650603	2053.0	0.4290909090909091	-472.0	-0.8145454545454546	-896.0	-0.15714285714285717	154.0	95.24834031530732	39933.0	0.9995099724571402	0.0291036083170185	-0.0015507453297447648	0.011418849792272104	1.522815909824625E12	1.522815909835E12	26.896939618726208	25937.0	261.71875	8576.0	3863.7362637362635	2637.0	0.0	0.0	
0.0657449782521899	0.9298429426665422	-0.04932268702753424	0.3646359479229578	0.056488549618320595	-140.0	0.14198473282442764	-24.0	0.3610687022900764	56.0	0.24096385542168675	1234.0	9.795180722891567	2027.0	-0.12048192771084337	2057.0	0.43	-473.0	-0.8163636363636364	-898.0	-0.15816326530612246	155.0	95.24834031530732	39933.0	0.9994597483816386	0.030560747334461923	-0.0016210675017681716	0.011984332581563506	1.5228159098324375E12	1.522815909843E12	26.896939618726208	25937.0	269.53125	8832.0	3846.1538461538457	2625.0	0.0	0.0	
0.06887599892710856	0.9299033396265974	-0.04929270900248774	0.36448595005922496	0.05379861868411489	-134.0	0.043620501635768874	-24.0	0.38967648127953464	53.0	0.26506024096385544	1235.0	9.783132530120483	2025.0	-0.16867469879518074	2061.0	0.42727272727272725	-470.0	-0.8136363636363636	-895.0	-0.15714285714285717	154.0	95.25131628236882	39934.0	0.999407070699933	0.032017681136241184	-0.001697206765400928	0.012549686005345758	1.52281590984025E12	1.52281590985E12	26.896939618726208	25937.0	277.34375	9088.0	3850.5494505494503	2628.0	0.0	0.0	
0.07198158501316305	0.9300545133656689	-0.04939361277325193	0.364086354022671	-0.23872310895211657	-127.0	-0.06523247744621802	-5.0	0.12768910478834136	69.0	0.27710843373493976	1234.0	9.795180722891567	2024.0	-0.1927710843373494	2063.0	0.4354545454545454	-479.0	-0.81	-891.0	-0.16020408163265307	157.0	95.25131628236882	39934.0	0.9993524013367855	0.03346617292219435	-0.0017773315032251684	0.013100927641585861	1.5228159098480625E12	1.522815909859E12	26.896939618726208	25937.0	285.15625	9344.0	3843.223443223443	2623.0	0.0	0.0	
0.07509055924705167	0.9301247242797402	-0.0494679540583836	0.3638968518754333	-0.24361101891802187	-129.0	-0.03186193162960497	-4.0	0.3053435114503817	57.0	0.28915662650602414	1234.0	9.795180722891567	2023.0	-0.18072289156626506	2062.0	0.4318181818181818	-475.0	-0.8127272727272727	-894.0	-0.15714285714285717	154.0	95.25131628236882	39934.0	0.999295258781253	0.034913588863391784	-0.001856851844514695	0.013659399372379626	1.522815909855875E12	1.522815909864E12	26.896939618726208	25937.0	292.96875	9600.0	3863.7362637362635	2637.0	0.0	0.0	
0.07818860875500772	0.9302109078203405	-0.049591347763196555	0.36365968321928516	-0.3403307888040712	-123.0	-0.12213740458015267	3.0	0.12468193384223926	68.0	0.28915662650602414	1234.0	9.795180722891567	2023.0	-0.16867469879518074	2061.0	0.4263636363636364	-469.0	-0.8172727272727273	-899.0	-0.15408163265306124	151.0	95.25131628236882	39934.0	0.9992359150067636	0.036356685668571254	-0.0019382454316000833	0.014213401156643197	1.5228159098636875E12	1.522815909876E12	26.896939618726208	25937.0	300.78125	9856.0	3847.6190476190473	2626.0	0.0	0.0	
