belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	belt	Annotation	Annotation	
Axis Angle A	Axis Angle X	Axis Angle Y	Axis Angle Z	Gyroscope X	Gyroscope X	Gyroscope Y	Gyroscope Y	Gyroscope Z	Gyroscope Z	Low Noise Accelerometer X	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Low Noise Accelerometer Z	Magnetometer X	Magnetometer X	Magnetometer Y	Magnetometer Y	Magnetometer Z	Magnetometer Z	Pressure	Pressure	Quaternion 0	Quaternion 1	Quaternion 2	Quaternion 3	SyncTimestamp	SystemTimestamp	Temperature	Temperature	Timestamp	Timestamp	VSenseBatt	VSenseBatt	Level	Pulse	
CAL	CAL	CAL	CAL	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	RAW	CAL	CAL	CAL	CAL	CAL	UNCAL	CAL	RAW	CAL	RAW	CAL	RAW	no format	no format	
local	local	local	local	deg/s	No Units	deg/s	No Units	deg/s	No Units	m/s^2	No Units	m/s^2	No Units	m/s^2	No Units	local flux	No Units	local flux	No Units	local flux	No Units	kPa	No Units	local	local	local	local	mSecs	mSecs	Degrees Celsius	No Units	mSecs	No Units	mV	No Units	no unit	no unit	
0.04660406338688274	0.9242272380922028	-0.07815736598326838	0.37375852968348505	-0.47001090512540883	-124.0	-0.016357688113413274	30.0	-0.3827699018538713	118.0	0.5662650602409639	1237.0	9.759036144578314	2000.0	-0.1566265060240964	2060.0	0.44363636363636366	-488.0	-0.8336363636363636	-917.0	-0.1285714285714286	126.0	94.76251642690976	40042.0	0.9997285199439384	0.021534423460163248	-0.0018210606074420333	0.008708544953366988	1.522831318729625E12	1.522831318748E12	23.95001865645018	25455.0	1511.71875	49536.0	3862.271062271062	2636.0	0.0	0.0	
0.04969245329612747	0.9244598783929018	-0.07792857701087293	0.3732305857338529	-0.42340966921119594	-134.0	0.13740458015267176	29.0	-0.2198473282442749	109.0	0.6024096385542169	1236.0	9.771084337349398	1997.0	-0.1566265060240964	2060.0	0.4381818181818182	-482.0	-0.8336363636363636	-917.0	-0.1326530612244898	130.0	94.76251642690976	40042.0	0.9996913483896196	0.02296697644240234	-0.0019360318757262332	0.009272417625127347	1.5228313187374375E12	1.522831318756E12	23.95001865645018	25455.0	1519.53125	49792.0	3872.527472527472	2643.0	0.0	0.0	
0.05278761769906332	0.9247086461144718	-0.0774097490176178	0.37272194805073433	-0.33587786259541985	-136.0	0.15935114503816794	25.0	-0.1450381679389313	105.0	0.5542168674698795	1237.0	9.759036144578314	2001.0	-0.16867469879518074	2061.0	0.43727272727272726	-481.0	-0.8263636363636364	-909.0	-0.1326530612244898	130.0	94.75955951584189	40041.0	0.9996517036474768	0.02440374960661338	-0.0020429009073014296	0.009836409696544883	1.52283131874525E12	1.522831318764E12	23.95001865645018	25455.0	1527.34375	50048.0	3872.527472527472	2643.0	0.0	0.0	
0.0558693666622383	0.9249373264240479	-0.0769820352383043	0.37224280844384794	-0.5145936237090255	-131.0	0.07364167040862152	38.0	-0.22810956443646155	111.0	0.5421686746987953	1237.0	9.759036144578314	2002.0	-0.12048192771084337	2057.0	0.44	-484.0	-0.8372727272727273	-921.0	-0.13367346938775512	131.0	94.75955951584189	40041.0	0.9996098521054647	0.025834471035552586	-0.002150189102337165	0.010397132625315261	1.5228313187530625E12	1.522831318776E12	23.95001865645018	25455.0	1535.15625	50304.0	3866.6666666666665	2639.0	0.0	0.0	
0.05895745152994183	0.9252407356877795	-0.07653730904337043	0.37157989901005156	-0.3638676844783715	-124.0	-0.03731976251060218	30.0	-0.35284139100933	120.0	0.5180722891566265	1236.0	9.771084337349398	2004.0	-0.08433734939759037	2054.0	0.44545454545454544	-490.0	-0.8409090909090909	-925.0	-0.1326530612244898	130.0	94.75955951584189	40041.0	0.9995655338274247	0.027270967789767325	-0.002255895583851119	0.01095211555908795	1.522831318760875E12	1.522831318779E12	23.95001865645018	25455.0	1542.96875	50560.0	3863.7362637362635	2637.0	0.0	0.0	
0.06204436441780158	0.9254727723900262	-0.07574362994574285	0.3711644515403248	-0.4057854560064283	-138.0	0.17838489353153886	34.0	-0.22740056247488946	113.0	0.4819277108433735	1237.0	9.759036144578314	2007.0	-0.07228915662650603	2053.0	0.4354545454545454	-479.0	-0.84	-924.0	-0.1316326530612245	129.0	94.76843025135835	40044.0	0.9995188506945593	0.028705580198222273	-0.0023493558198335427	0.011512484481747461	1.5228313187686875E12	1.522831318815E12	23.95001865645018	25455.0	1550.78125	50816.0	3868.131868131868	2640.0	0.0	0.0	
0.0651401300570551	0.9258195838474194	-0.07518123804166504	0.3704131201931304	-0.21755725190839695	-123.0	-0.05954198473282451	23.0	-0.3687022900763359	123.0	0.46987951807228917	1237.0	9.759036144578314	2008.0	-0.08433734939759037	2054.0	0.4390909090909091	-483.0	-0.8245454545454546	-907.0	-0.13367346938775512	131.0	94.753645696019	40039.0	0.9994696423185284	0.030148673059530364	-0.0024482249084746494	0.012062246524592505	1.5228313187765E12	1.522831318816E12	23.95001865645018	25455.0	1558.59375	51072.0	3872.527472527472	2643.0	0.0	0.0	
0.0682319114390804	0.9260185675320491	-0.07441029739306622	0.37007123669364733	-0.3751363140676117	-133.0	0.09596510359869147	34.0	-0.07633587786259542	105.0	0.45783132530120485	1236.0	9.771084337349398	2009.0	-0.0963855421686747	2055.0	0.4409090909090909	-485.0	-0.83	-913.0	-0.12959183673469388	127.0	94.753645696019	40039.0	0.99941810722463	0.031585880487159476	-0.0025380859983566584	0.01262288496557203	1.5228313187843125E12	1.522831318818E12	23.95001865645018	25455.0	1566.40625	51328.0	3866.6666666666665	2639.0	0.0	0.0	
0.07132665107668967	0.9262860121206457	-0.07365814249372338	0.3695520285346587	-0.26648160999306036	-125.0	-0.030534351145038167	28.0	-0.22553782095766817	115.0	0.42168674698795183	1235.0	9.783132530120483	2012.0	-0.07228915662650603	2053.0	0.44181818181818183	-486.0	-0.8318181818181818	-915.0	-0.1306122448979592	128.0	94.76547333874858	40043.0	0.9993641310054318	0.03302743743638141	-0.002626337503814815	0.01317666070976636	1.522831318792125E12	1.52283131882E12	23.95001865645018	25455.0	1574.21875	51584.0	3860.8058608058604	2635.0	0.0	0.0	
0.07442645952604332	0.9265008267972353	-0.07280815855055223	0.3691817844809053	-0.20909392631928317	-131.0	0.06239628277464313	25.0	-0.12412877530700309	109.0	0.39759036144578314	1237.0	9.759036144578314	2014.0	-0.060240963855421686	2052.0	0.43363636363636365	-477.0	-0.84	-924.0	-0.1316326530612245	129.0	94.75660260554497	40040.0	0.9993076676673976	0.0344701310108635	-0.0027088014293229616	0.013735275900262316	1.5228313187999375E12	1.522831318822E12	23.95001865645018	25455.0	1582.03125	51840.0	3871.0622710622706	2642.0	0.0	0.0	
